caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
7719,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7720,8,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Good,3,"Less than $25,000","Less than $25,000",NA,0
7721,9,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Very good,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,0
7722,10,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$125,000 and more","$100,000 to $ 124,999",0,0
7723,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7724,7,Born outside Canada,NA,NA,Visible minority,Married,2,Fair,3,"$75,000 to $99,999","Less than $25,000",NA,0
7725,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Excellent,5,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7726,7,Born in Canada,By birth,No,Not a visible minority,Widowed,6,Very good,3,"$75,000 to $99,999","$75,000 to $99,999",NA,0
7727,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7728,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,3,"$75,000 to $99,999","Less than $25,000",0,0
7729,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,5,"$125,000 and more","$125,000 and more",NA,1
7730,9,Born in Canada,By birth,No,NA,Married,4,Fair,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7731,10,Born in Canada,By birth,No,Visible minority,Divorced,NA,Excellent,5,"$125,000 and more","$125,000 and more",NA,0
7732,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,4,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
7733,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
7734,7,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,2,Good,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7735,10,Born outside Canada,By birth,NA,Not a visible minority,Married,3,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
7736,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,4,"$25,000 to $49,999","Less than $25,000",NA,0
7737,NA,Born outside Canada,NA,NA,Don't know,Married,2,Very good,0,"$75,000 to $99,999","$25,000 to $49,999",NA,0
7738,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7739,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$125,000 and more",0,1
7740,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Excellent,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",2,1
7741,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$50,000 to $74,999","Less than $25,000",2,0
7742,5,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$50,000 to $74,999",0,1
7743,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,4,"$75,000 to $99,999","$75,000 to $99,999",0,1
7744,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$125,000 and more","$50,000 to $74,999",NA,1
7745,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"Less than $25,000","Less than $25,000",NA,0
7746,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7747,5,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$125,000 and more","$25,000 to $49,999",NA,0
7748,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,1,"$50,000 to $74,999","Less than $25,000",NA,1
7749,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$50,000 to $74,999","Less than $25,000",0,0
7750,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Excellent,5,"$125,000 and more","$125,000 and more",0,0
7751,10,Born in Canada,By birth,Yes,Not a visible minority,Married,3,Good,4,"$125,000 and more","$75,000 to $99,999",0,0
7752,6,Born in Canada,By birth,No,Visible minority,"Single, never married",2,Good,5,"$100,000 to $ 124,999","Less than $25,000",2,1
7753,8,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7754,5,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",0,0
7755,0,Born in Canada,By birth,Yes,Not a visible minority,Divorced,3,Poor,2,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
7756,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7757,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,1
7758,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,4,"$125,000 and more","$125,000 and more",0,1
7759,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,4,"$25,000 to $49,999","Less than $25,000",NA,0
7760,10,Born in Canada,By birth,Yes,Not a visible minority,Widowed,1,Very good,4,"Less than $25,000","Less than $25,000",NA,0
7761,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
7762,9,Born outside Canada,NA,NA,Not a visible minority,Living common-law,4,Fair,4,"$75,000 to $99,999","$25,000 to $49,999",NA,1
7763,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$50,000 to $74,999","Less than $25,000",NA,0
7764,10,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,4,"$125,000 and more","$75,000 to $99,999",NA,0
7765,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,4,"$50,000 to $74,999","Less than $25,000",NA,0
7766,8,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Good,4,"$125,000 and more","$25,000 to $49,999",NA,1
7767,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$100,000 to $ 124,999","$75,000 to $99,999",2,0
7768,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"Less than $25,000","Less than $25,000",NA,1
7769,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Excellent,5,"$50,000 to $74,999","$25,000 to $49,999",0,1
7770,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,4,"$25,000 to $49,999","Less than $25,000",1,1
7771,10,Born in Canada,By birth,No,Visible minority,Married,2,Very good,4,"$100,000 to $ 124,999","Less than $25,000",0,0
7772,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$25,000 to $49,999",0,0
7773,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
7774,10,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$125,000 and more",0,1
7775,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,5,Good,4,"Less than $25,000","Less than $25,000",NA,0
7776,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,1,"$125,000 and more","Less than $25,000",2,0
7777,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,1,"Less than $25,000","Less than $25,000",0,1
7778,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$125,000 and more","$50,000 to $74,999",NA,1
7779,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,5,"$125,000 and more","$100,000 to $ 124,999",0,1
7780,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,4,"$50,000 to $74,999","Less than $25,000",NA,0
7781,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,4,"$75,000 to $99,999","$25,000 to $49,999",2,0
7782,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,1
7783,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
7784,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,1,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7785,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,3,"$125,000 and more","$25,000 to $49,999",0,0
7786,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,4,"Less than $25,000","Less than $25,000",NA,0
7787,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$125,000 and more",NA,1
7788,6,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
7789,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$125,000 and more","$125,000 and more",NA,1
7790,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
7791,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
7792,8,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,0
7793,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,7,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",2,1
7794,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"Less than $25,000","Less than $25,000",NA,0
7795,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$50,000 to $74,999",NA,0
7796,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,5,"$125,000 and more","$25,000 to $49,999",2,0
7797,6,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,4,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7798,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",1,0
7799,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,0
7800,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7801,10,Born outside Canada,NA,NA,Visible minority,Married,6,Excellent,5,"Less than $25,000","Less than $25,000",0,1
7802,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
7803,8,Born outside Canada,By naturalization,No,Not a visible minority,Married,3,Very good,3,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
7804,10,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",2,Fair,5,"Less than $25,000","Less than $25,000",NA,0
7805,7,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
7806,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,5,"$75,000 to $99,999","$25,000 to $49,999",NA,1
7807,7,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Excellent,3,"$125,000 and more","$25,000 to $49,999",NA,1
7808,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Fair,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7809,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,0
7810,5,Born outside Canada,By naturalization,NA,Visible minority,Married,1,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,0
7811,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,5,"$50,000 to $74,999","Less than $25,000",NA,0
7812,1,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Poor,4,"Less than $25,000","Less than $25,000",NA,0
7813,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"$125,000 and more","Less than $25,000",4,0
7814,8,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,4,"Less than $25,000","Less than $25,000",NA,0
7815,8,Born in Canada,By birth,No,Not a visible minority,Widowed,6,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
7816,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$125,000 and more","Less than $25,000",0,0
7817,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$50,000 to $74,999","Less than $25,000",NA,0
7818,7,Born outside Canada,Don't know,NA,Not a visible minority,Divorced,1,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7819,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",2,1
7820,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,4,"Less than $25,000","Less than $25,000",NA,1
7821,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Poor,2,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7822,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,5,"$125,000 and more","$125,000 and more",0,0
7823,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",4,0
7824,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,4,"Less than $25,000","Less than $25,000",NA,0
7825,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
7826,9,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",4,Excellent,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
7827,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,3,"$125,000 and more","$75,000 to $99,999",1,0
7828,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Fair,3,"$50,000 to $74,999","Less than $25,000",NA,0
7829,0,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Poor,2,"Less than $25,000","Less than $25,000",NA,1
7830,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
7831,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",4,1
7832,7,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,0
7833,6,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
7834,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",0,1
7835,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,3,"Less than $25,000","Less than $25,000",2,0
7836,6,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,3,Good,3,"$25,000 to $49,999","Less than $25,000",0,1
7837,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
7838,8,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,3,"Less than $25,000","Less than $25,000",0,1
7839,8,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,3,Very good,4,"$125,000 and more","$125,000 and more",2,1
7840,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7841,8,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Good,3,"Less than $25,000","Less than $25,000",NA,0
7842,8,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
7843,10,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Very good,4,"Less than $25,000","Less than $25,000",NA,1
7844,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,1,Good,3,"$25,000 to $49,999","Less than $25,000",NA,1
7845,9,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$125,000 and more","$50,000 to $74,999",NA,0
7846,9,Born in Canada,By birth,Yes,Not a visible minority,Married,5,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
7847,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$100,000 to $ 124,999","$75,000 to $99,999",3,1
7848,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$125,000 and more","$75,000 to $99,999",0,1
7849,8,Born in Canada,By birth,Yes,Not a visible minority,Married,1,Good,4,"$50,000 to $74,999","$25,000 to $49,999",0,1
7850,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",0,0
7851,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,5,"$50,000 to $74,999","Less than $25,000",0,0
7852,4,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Fair,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7853,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$50,000 to $74,999","Less than $25,000",0,1
7854,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$25,000 to $49,999","Less than $25,000",2,1
7855,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,5,"$125,000 and more","$75,000 to $99,999",0,1
7856,6,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,6,Good,3,"Less than $25,000","Less than $25,000",NA,0
7857,NA,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,2,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7858,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,3,"$125,000 and more","$100,000 to $ 124,999",0,1
7859,6,Born outside Canada,NA,NA,Don't know,Separated,3,Fair,3,"Less than $25,000","Less than $25,000",0,0
7860,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"Less than $25,000","Less than $25,000",0,0
7861,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",2,1
7862,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,5,"$75,000 to $99,999","$25,000 to $49,999",2,1
7863,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
7864,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Excellent,4,"$50,000 to $74,999","$50,000 to $74,999",1,1
7865,5,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,1,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
7866,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,5,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
7867,8,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Good,3,"$50,000 to $74,999","Less than $25,000",0,0
7868,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Poor,3,"$125,000 and more","$75,000 to $99,999",0,1
7869,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
7870,10,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Excellent,5,"$125,000 and more","$50,000 to $74,999",NA,1
7871,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
7872,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Fair,3,"$75,000 to $99,999","$25,000 to $49,999",NA,1
7873,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$125,000 and more","$75,000 to $99,999",0,0
7874,7,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$125,000 and more",0,1
7875,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
7876,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$100,000 to $ 124,999","$25,000 to $49,999",NA,1
7877,NA,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7878,7,Born outside Canada,By naturalization,NA,Not a visible minority,Married,1,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7879,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Good,3,"$100,000 to $ 124,999","$75,000 to $99,999",0,1
7880,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$125,000 and more","$75,000 to $99,999",0,0
7881,10,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Good,5,"$125,000 and more","$50,000 to $74,999",NA,1
7882,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7883,10,Born in Canada,By birth,No,Not a visible minority,Widowed,7,Excellent,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,0
7884,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7885,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$75,000 to $99,999","$50,000 to $74,999",0,1
7886,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",3,0
7887,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,5,"$25,000 to $49,999","Less than $25,000",NA,0
7888,7,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,3,"$125,000 and more","$125,000 and more",0,1
7889,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,0
7890,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,1
7891,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,1
7892,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
7893,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,1,"$25,000 to $49,999","Less than $25,000",NA,1
7894,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$125,000 and more",0,1
7895,6,Born outside Canada,NA,NA,Visible minority,Living common-law,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,0
7896,8,Born outside Canada,NA,NA,Visible minority,Married,5,Good,3,"$25,000 to $49,999","$25,000 to $49,999",2,1
7897,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7898,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7899,7,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Good,4,"$25,000 to $49,999","$25,000 to $49,999",0,0
7900,10,Born in Canada,By birth,No,Not a visible minority,Separated,1,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7901,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7902,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,3,"Less than $25,000","Less than $25,000",NA,0
7903,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7904,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,7,Very good,4,"$50,000 to $74,999","Less than $25,000",2,0
7905,10,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,2,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7906,10,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",0,1
7907,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$50,000 to $74,999","Less than $25,000",0,1
7908,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",NA,0
7909,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7910,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Fair,5,"$75,000 to $99,999","$50,000 to $74,999",NA,1
7911,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
7912,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",NA,1
7913,9,Born outside Canada,NA,NA,Not a visible minority,"Single, never married",6,Very good,5,"$25,000 to $49,999","Less than $25,000",3,1
7914,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$75,000 to $99,999","$75,000 to $99,999",0,1
7915,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$125,000 and more","Less than $25,000",3,1
7916,10,Born in Canada,By birth,Yes,Not a visible minority,Separated,3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7917,7,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,3,"$125,000 and more","$50,000 to $74,999",NA,0
7918,8,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7919,8,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7920,8,Born in Canada,By birth,No,Not a visible minority,Separated,1,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7921,9,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,1
7922,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,1,"$125,000 and more","$50,000 to $74,999",3,0
7923,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
7924,10,Born outside Canada,By naturalization,No,Visible minority,Divorced,6,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
7925,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
7926,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",7,Very good,4,"Less than $25,000","Less than $25,000",1,0
7927,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$125,000 and more","$75,000 to $99,999",0,1
7928,NA,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,1,"$50,000 to $74,999","$50,000 to $74,999",NA,1
7929,NA,Born outside Canada,By naturalization,NA,NA,Married,2,Good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
7930,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,4,"$125,000 and more","$50,000 to $74,999",0,0
7931,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Good,3,"$100,000 to $ 124,999","$75,000 to $99,999",0,1
7932,8,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,0
7933,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,1,"$125,000 and more","$25,000 to $49,999",NA,1
7934,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
